app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
pinduoduo,bargain_hunter,1,2026-06-06T15:17:21,search_keyword,daily_necessities,洗衣液,请在搜索框输入“洗衣液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,2,2026-06-06T15:17:34,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,3,2026-06-06T15:17:47,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,4,2026-06-06T15:18:02,search_keyword,daily_necessities,洗衣液,请在搜索框输入“洗衣液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,5,2026-06-06T15:18:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,6,2026-06-06T15:18:42,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,7,2026-06-06T15:19:00,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,8,2026-06-06T15:19:21,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_008.png,,1.0,0.0,1.0,0.0,0.0,1.0,1.0
pinduoduo,bargain_hunter,9,2026-06-06T15:19:32,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,10,2026-06-06T15:19:47,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,11,2026-06-06T15:20:44,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_011.png,,2.0,1.0,1.0,0.0,0.0,1.0,1.0
pinduoduo,bargain_hunter,12,2026-06-06T15:21:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,13,2026-06-06T15:21:19,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_013.png,,1.0,0.0,1.0,0.0,0.0,1.0,1.0
pinduoduo,bargain_hunter,14,2026-06-06T15:21:38,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_014.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,15,2026-06-06T15:21:51,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_015.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,16,2026-06-06T15:22:12,search_keyword,apparel_beauty,面膜,请在搜索框输入“面膜”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_016.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,17,2026-06-06T15:22:57,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_017.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
pinduoduo,bargain_hunter,18,2026-06-06T15:23:22,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_018.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,19,2026-06-06T15:23:40,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_019.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,20,2026-06-06T15:23:54,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_020.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,21,2026-06-06T15:24:12,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_021.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,22,2026-06-06T15:24:30,search_keyword,daily_necessities,洗发水,请在搜索框输入“洗发水”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_022.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,23,2026-06-06T15:24:45,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_023.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,24,2026-06-06T15:24:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_024.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,25,2026-06-06T15:25:44,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_025.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,26,2026-06-06T15:26:01,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_026.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,27,2026-06-06T15:26:34,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_027.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,28,2026-06-06T15:26:47,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_028.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,29,2026-06-06T15:27:34,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_029.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,bargain_hunter,30,2026-06-06T15:27:49,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\bargain_hunter\20260606_151703\screenshots\step_030.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
